Citadines Austerlitz Paris,118,13th arr.,1.6 miles,8.2,Very good,NA,991
Central Marais Lovely Apartment,NA,3rd arr.,Metro access,8.7,Fabulous,NA,20
Atlantic Hotel,135,8th arr.,1.9 miles,8.8,Fabulous,NA,2251
Jardins de Mademoiselle Hôtel & Spa,250,15th arr.,2.7 miles,9,Superb,NA,732
Hotel de Saint-Germain,132,6th arr.,1 miles,7.1,Good,NA,1113
Hotel Malte - Astotel,250,2nd arr.,1 miles,9,Superb,9.5,500
Plaza Tour Eiffel,205,16th arr.,3.1 miles,8.4,Very good,NA,263
Plaza Tour Eiffel,205,16th arr.,3.1 miles,8.4,Very good,NA,263
Kyriad Paris 18 - Porte de Clignancourt - Montmartre,90,18th arr.,2.8 miles,8,Very good,NA,1644
CMG Montorgueil / Jeuneurs II,NA,2nd arr.,Metro access,8.7,Fabulous,NA,11
La Clef Champs-Élysées Paris,375,8th arr.,2.6 miles,9,Superb,9.6,319
Hotel London,140,9th arr.,1.3 miles,7.9,Good,9.5,1159
Maison Albar Hotels Le Pont-Neuf,378,1st arr.,"2,300 feet",9,Superb,9.4,934
Hotel Le 10 BIS,166,17th arr.,3.1 miles,9,Superb,NA,396
Idéal Hôtel Design,91,14th arr.,2.6 miles,7.8,Good,NA,2890
Les Tournelles,269,3rd arr.,0.6 miles,9,Superb,9.7,462
CHAMPS ELYSEES COLISEE PARIS,NA,8th arr.,Metro access,8,Very good,10,13
Timhotel Montmartre,140,18th arr.,2.1 miles,8.6,Fabulous,9.5,1544
Hotel Les Bains Paris,422,3rd arr.,"2,800 feet",9,Superb,NA,337
Best Western Paris Italie,120,13th arr.,1.9 miles,7.9,Good,NA,1261
Hôtel Le Marianne,190,8th arr.,2.3 miles,9,Superb,9.4,413
Hotel Louis 2,160,6th arr.,0.7 miles,8.3,Very good,9.5,545
Le 7 Eiffel Hotel,199,7th arr.,2 miles,8,Very good,NA,360
Edgar Suites Expo Paris Porte de Versailles,NA,15th arr.,Metro access,9.3,Superb,NA,699
Le Pavillon de la Reine & Spa,589,3rd arr.,0.7 miles,9,Superb,9.7,451
Hôtel Elixir,196,1st arr.,"1,500 feet",8.2,Very good,9.6,700
Hôtel Regina Louvre,422,1st arr.,1 miles,9,Superb,9.6,843
Maxim Folies,187,9th arr.,1.2 miles,9,Superb,9.4,236
Hotel des Bains,128,14th arr.,1.6 miles,7.8,Good,NA,570
Hôtel Chaplain Paris Rive Gauche,191,6th arr.,1.4 miles,8.3,Very good,NA,960
CMG Republique/ Montorgueil - Vertbois,NA,3rd arr.,Metro access,7.6,Good,NA,32
Hotel George - Astotel,146,9th arr.,1.7 miles,9,Superb,9.3,555
Hôtel Keppler,249,16th arr.,2.6 miles,9,Superb,9.5,140
Hôtel Elysées Paris,132,17th arr.,2.9 miles,7.8,Good,NA,1195
Hôtel National Des Arts et Métiers,280,3rd arr.,0.7 miles,8.9,Fabulous,NA,408
Hôtel & Spa de Latour Maubourg,339,7th arr.,1.9 miles,9,Superb,9.6,461
Hôtel Balzac,293,8th arr.,2.6 miles,8.1,Very good,NA,383
Hôtel l'Echiquier Opéra Paris - MGallery,221,10th arr.,1.1 miles,9,Superb,NA,342
Loft Basfour by Patios Du Marais,NA,2nd arr.,Metro access,8.9,Fabulous,NA,30
